http://realec.org/index.xhtml#/exam/exam2017_4/DPe_15_2; Derivation;  So if the government punishes one illegal actions why doesn’t it do the same to the other.; other; others
http://realec.org/index.xhtml#/exam/exam2017_5_2/EGe_145_2; Derivation; ﻿The situation with crime in recent years has changed so that most of the illegal actions are being commited by the youth.; commited; committed
http://realec.org/index.xhtml#/exam/exam2017_5_2/EGe_145_2; Derivation;  For instance, teachers can give lectures about the drawbacks and outcomes of commiting a crime where they will explain to the youth everything.; commiting; committing
http://realec.org/index.xhtml#/exam/exam2017_6/NMya_26_2; Derivation;  There fore, we should provide childrens, with information about people, who were honest, kind and hard-working, goining enormous sucsess.; childrens; children
http://realec.org/index.xhtml#/exam/exam2017_6/NMya_26_2; Derivation; 
Media and internet provides childrens with tons of information and most of it is no good.; childrens; children
http://realec.org/index.xhtml#/exam/exam2017_6/NMya_24_1; Derivation;  Elderly people use the social networks rarer than another age grops.; ; 
http://realec.org/index.xhtml#/exam/exam2017_6/NMya_24_1; Derivation;  Elderly people use the social networks rarer than another age grops.; ; 
http://realec.org/index.xhtml#/exam/exam2017_6/NMya_27_1; Derivation;  The most useful network by every group is Facebook.; useful; used
http://realec.org/index.xhtml#/exam/exam2017_6/EGe_270_1; Derivation;  Machinery has a biger procent(12%).; biger; bigger
http://realec.org/index.xhtml#/exam/exam2017_6/EGe_270_1; Derivation;  The procent of manufactured goods` tranportation nearly at the same lavel in both cases (25% goods transportated by rail and 28 by road) Speaking about rail way, the same quantity of food products and chemical were tranportated by rail.; tranportated; transported
http://realec.org/index.xhtml#/exam/exam2017_6/EGe_270_1; Derivation; Also, the first chart gives no information about countity of non-matallic minerals transportated by rail.; transportated; transported
http://realec.org/index.xhtml#/exam/exam2017_6/EGe_270_1; Derivation;  The procent of manufactured goods` tranportation nearly at the same lavel in both cases (25% goods transportated by rail and 28 by road) Speaking about rail way, the same quantity of food products and chemical were tranportated by rail.; transportated; transported
http://realec.org/index.xhtml#/exam/exam2017_6/EGe_267_2; Derivation;  Moreover, by puting this kid in a jail and not giving him help there and thereafter to socialise and find a normal job and people to interact with, will most likely make him a life-long prisoner.; puting; putting
http://realec.org/index.xhtml#/exam/exam2017_6/EGe_265_2; Derivation;  To put it more precisely, if a human is tought that crimes, murders and other types of illegal actions entail only punishment they can one day be persuaded by this propositions.; tought; taught
http://realec.org/index.xhtml#/exam/exam2017_6/EGe_265_2; Derivation;  For instance, today many prisoners who have comitted crimes are tought by professional psychologists and the majority of them really changes their life style.; tought; taught
http://realec.org/index.xhtml#/exam/exam2017_6/EGe_265_2; Derivation;  One convincing example is special places where criminals can realize their intensions not in a harmful way; for example, they can, being under control of doctors and policemen, take care about seniors or children.; intensions; intentions
http://realec.org/index.xhtml#/exam/exam2017_6/NMya_7_1; Derivation;  Only one fourth of 30-49 year old people are active users of Instagram.; year old; year-old
http://realec.org/index.xhtml#/exam/exam2017_6/NMya_10_2; Derivation; 
In my opinion first reason is gender equality nowadays the percentage of womens who has a job is higher than ever before, therefore they has less time for take care of their children.; womens; women
http://realec.org/index.xhtml#/exam/exam2017_6/NMya_16_1; Derivation;  Elderies don’t like to show their everyday life to the whole world.; Elderies; elderly people
http://realec.org/index.xhtml#/exam/exam2017_6/NMya_4_2; Derivation;  Government, public services are still unfamiliar with internet, it is often uneasy for old people to learn how to use it in full potential.; ; 
http://realec.org/index.xhtml#/exam/exam2017_6/NMya_6_2; Derivation;  First thing should be teached by the family, while second one can be teached by school teachers.; teached; taught
http://realec.org/index.xhtml#/exam/exam2017_6/NMya_6_2; Derivation;  First thing should be teached by the family, while second one can be teached by school teachers.; teached; taught
http://realec.org/index.xhtml#/exam/exam2017_6/EGe_266_2; Derivation;  It brings us to the question of efficiancy of prisons.; efficiancy; efficiency
http://realec.org/index.xhtml#/exam/exam2017_6/NMya_31_1; Derivation;  Middle aged groups (30 - 49, 50 - 64) are the most prominent in this social network, while general leader group (18 - 29) demonstrates the lowest participation rate.; Middle aged; Middle-aged
http://realec.org/index.xhtml#/exam/exam2017_6/NMya_31_1; Derivation;  As for Instagram and LinkedIn comparison, Instagram is more popular in general though LinkedIn overcomes Instagram in both middle aged and old groups.; middle aged; middle-aged
http://realec.org/index.xhtml#/exam/exam2017_7/VSa_84_2; Derivation; 
Despite there being a lot of debates about the opportunity of using any drugs in order to increase sport skills, sportsmen should stay carefull, because such measures might destroy their health.; carefull; careful
http://realec.org/index.xhtml#/exam/exam2017_7/VSa_86_2; Derivation;  And as I mentioned afterwards of some powerfull structures interference.; powerfull; powerful
http://realec.org/index.xhtml#/exam/exam2017_7/VSa_86_2; Derivation;  This point of view may be understanded.; understanded; understood
http://realec.org/index.xhtml#/exam/exam2017_7/VSa_86_2; Derivation;  It is indeed rather strange thing, but archaical wish to show country's musculinum, glory and power even throw sport competition still lives.; archaical; archaic
http://realec.org/index.xhtml#/exam/exam2017_7/VSa_80_2; Derivation;  For instance, the use of medical tablets in an aim of being calm and conscentious during the competition or a game.; conscentious; concentrated
http://realec.org/index.xhtml#/exam/exam2017_7/VSa_78_2; Derivation;  One can remember Russian famous biathlonist D.; biathlonist; biathlete
http://realec.org/index.xhtml#/exam/exam2017_7/VSa_81_2; Derivation;  This essay will examined both points of view carefuly.; carefuly; carefully
http://realec.org/index.xhtml#/exam/exam2017_7/VSa_67_2; Derivation;  What is more, such people believe that it is dishonored to their opponent.; dishonored; dishonest
http://realec.org/index.xhtml#/exam/exam2017_7/VSa_67_2; Derivation;  The main idea of it is to reabelatize, to correct the mistake.; reabelatize; rehabilitate
http://realec.org/index.xhtml#/exam/exam2017_7/VSa_83_2; Derivation;  However, sometimes athletes use the illegal ones that lead to disqualification of the athletes for a long, but limitted period of time.; limitted; limited
http://realec.org/index.xhtml#/exam/exam2017_7/VSa_43_2; Derivation;  However, it cannot be denied that electronic machines may cause health issues.; machines; devices
http://realec.org/index.xhtml#/exam/exam2017_7/VSa_72_2; Derivation;  He told that thi prohibitation stimulated him to mundane training.; prohibitation; prohibition
http://realec.org/index.xhtml#/exam/exam2017_7/VSa_69_2; Derivation;  At second, the problem of choosing which drugs are legal and which are not is controversial itself.; At second; Secondly
http://realec.org/index.xhtml#/exam/exam2017_7/VSa_70_2; Derivation; 
In conclusion we can state, that illegal drugs are absolutely un acceptable in professional sport, and athlets caught using this drugs should be banned, but the period of their bann should depends on the situation.; un acceptable; unacceptable
http://realec.org/index.xhtml#/exam/exam2017_7/VSa_70_2; Derivation; 
On the one hand, there is no doubt that using illegal drugs to boost you physical abbilities and improve your scores on competition is dishonest, unethical and unsportive.; unsportive; unsportsmanlike
http://realec.org/index.xhtml#/exam/exam2017_7/VSa_89_2; Derivation; The use of dopping in professional sport is staying on of the vital problems nowadys.; dopping; doping
http://realec.org/index.xhtml#/exam/exam2017_7/VSa_76_2; Derivation;  Also it is not esential to discualificate athelets for the rest of teir lives, because they participates in competitions and do sports from the shildhood.; discualificate; disqualify
http://realec.org/index.xhtml#/exam/exam2017_7/VSa_76_2; Derivation;  International organisations try to overcome them and the basic method is banneding atheletes for 2 years.; banneding; banning
http://realec.org/index.xhtml#/exam/exam2017_7/VSa_137_2; Derivation;  From one hand, it is quite reasonable as it might give time to sportsmen who made such a mistake to sort out their priorities and decide whether they want to competite with justice or with cheating.; competite; 
http://realec.org/index.xhtml#/exam/exam2017_7/VSa_73_2; Derivation;  I think that all cases are uniqal and there can be different period of bans, however, it must be harder for twice or more time using.; uniqal; unique
http://realec.org/index.xhtml#/exam/exam2017_7/VSa_73_2; Derivation; In our generations, the unfairy usage of illegal drugs by professionally athletes is becoming more widespread, than in the XX century.; unfairy; unfair
http://realec.org/index.xhtml#/exam/exam2017_7/VSa_73_2; Derivation;  Nonetheless, some may argue that all act must be punished equaly, but they don not think about uniqal causes of this usage of illegal drugs by someone.; uniqal; unique
http://realec.org/index.xhtml#/exam/exam2017_7/VSa_88_2; Derivation;  If they pass the tests they will have an opportunity to competite.; competite; compete
http://realec.org/index.xhtml#/exam/exam2017_7/VSa_91_2; Derivation; Nowadays, the question about influence of drugs on sportsmen life's is oftenly discussing.; life; lives
